(0.351499,0.00188336)
(1.00145,-0.978772)
(-0.122017,-0.632497)
(0.962669,-0.183856)
(0.409121,-1.21453)
(0.180874,-0.0627154)
(1.09164,-0.801624)
(-0.07784,-0.812601)
(0.811029,-0.0622293)
(0.598376,-1.19935)
(0.0400002,-0.184002)
(1.11311,-0.609104)
(0.0149885,-0.958885)
(0.637979,0.0106861)
(0.771671,-1.12833)
(-0.055375,-0.332132)
(1.08511,-0.417086)
(0.151909,-1.06952)
(0.460229,0.0286674)
(0.92005,-1.01499)
(-0.101296,-0.502413)
(1.00705,-0.245037)
(0.314363,-1.14244)
(0.276893,-0.00712696)
(1.02547,-0.853872)
(-0.0890726,-0.673161)
(0.883504,-0.102328)
(0.494805,-1.15645)
(0.123761,-0.0936534)
(1.08396,-0.672899)
(-0.0228329,-0.833442)
(0.727225,-0.00618693)
(0.67209,-1.1175)
(0.00737599,-0.223593)
(1.08406,-0.487615)
(0.0848886,-0.962259)
(0.554975,0.0411903)
(0.828223,-1.03104)
(-0.0693905,-0.375071)
(1.03617,-0.301708)
(0.234271,-1.05423)
(0.375597,0.0358691)
(0.95763,-0.890776)
(-0.0784741,-0.543553)
(0.938594,-0.151718)
(0.402429,-1.09392)
(0.220899,-0.0243347)
(1.04049,-0.735035)
(-0.0457348,-0.707664)
(0.805109,-0.0366473)
(0.572547,-1.08982)
(0.0820214,-0.126058)
(1.07123,-0.553542)
(0.0377081,-0.847905)
(0.649111,0.0372704)
(0.739506,-1.03339)
(-0.0130191,-0.264583)
(1.05222,-0.376014)
(0.159041,-0.962812)
(0.473332,0.0595554)
(0.878334,-0.923578)
(-0.057137,-0.41774)
(0.98791,-0.211981)
(0.312505,-1.03551)
(0.306063,0.0294324)
(0.9853,-0.782783)
(-0.0537096,-0.585689)
(0.870041,-0.0765102)
(0.479119,-1.05137)
(0.162029,-0.0481713)
(1.0434,-0.618938)
(0.000141457,-0.73702)
(0.728707,0.0178799)
(0.643831,-1.02779)
(0.0371136,-0.165567)
(1.04826,-0.434152)
(0.104379,-0.862725)
(0.561286,0.0633841)
(0.78965,-0.939148)
(-0.0251489,-0.302011)
(1.01265,-0.27158)
(0.232215,-0.957276)
(0.390566,0.0685263)
(0.917047,-0.812397)
(-0.0425551,-0.462091)
(0.920967,-0.123902)
(0.390538,-0.993978)
(0.247323,0.0170721)
(0.999546,-0.669666)
(-0.0171309,-0.615032)
(0.801988,-0.00909252)
(0.555471,-0.995529)
(0.117464,-0.0779636)
(1.035,-0.504896)
(0.0550429,-0.754726)
(0.651093,0.063054)
(0.709426,-0.942383)
(0.0265584,-0.199429)
(1.02816,-0.336555)
(0.169406,-0.86918)
(0.48879,0.0869125)
(0.847485,-0.848675)
(-0.023024,-0.3533)
(0.960178,-0.180795)
(0.310857,-0.934484)
(0.332559,0.0594205)
(0.942372,-0.71918)
(-0.0254037,-0.499853)
(0.861131,-0.0485638)
(0.46651,-0.956331)
(0.196068,-0.00505445)
(1.00816,-0.567111)
(0.0228414,-0.648668)
(0.728305,0.0419875)
(0.620723,-0.935512)
(0.0815755,-0.109654)
(1.0219,-0.400549)
(0.112366,-0.77161)
(0.576714,0.0938963)
(0.767605,-0.865378)
(0.0112215,-0.245275)
(0.986535,-0.241711)
(0.234924,-0.86085)
(0.420627,0.0971166)
(0.885729,-0.756924)
(-0.0158263,-0.392008)
(0.909844,-0.0983638)
(0.382604,-0.909947)
(0.273401,0.0515582)
(0.965882,-0.618778)
(0.00481847,-0.538212)
